title,stars,quality,imdb_code,keywords,genres,year,eps,type
The Good Doctor - Season 1,Freddie Highmore;Beau Garrett;Tamlyn Tomita;Nicholas Gonzalez;Richard Schiff;Hill Harper;Antonia Thomas;Chuku Modu,HD,,the good doctor - season 1;gostream;watchfree;free movies;watch series;series9,Drama,2017,18,series
The Alienist - Season 1,,HD,,the alienist - season 1;gostream;watchfree;free movies;watch series;series9,Crime;Drama,2017,10,series
A Series of Unfortunate Events - Season 2,Neil Patrick Harris;Patrick Warburton;Malina Weissman,HD 720,,a series of unfortunate events - season 2;gostream;watchfree;free movies;watch series;series9,Adventure;Drama;Family,2018,10,series
Counterpart - Season 1,,HD,,counterpart - season 1;gostream;watchfree;free movies;watch series;series9,Drama;Sci-Fi;Thriller,2018,10,series
The Magicians - Season 3,Jason Ralph;Summer Bishil;Jade Tailor;Stella Maeve;Olivia Taylor Dudley;Rick Worthy;Hale Appleman;Arjun Gupta,HD,,the magicians - season 3;gostream;watchfree;free movies;watch series;series9,Drama;Fantasy;Horror,2018,13,series
Will and Grace - Season 9,,HD,,will and grace - season 9;gostream;watchfree;free movies;watch series;series9,Comedy;Romance,2017,16,series
Troy: Fall Of A City - Season 1,,HD,,troy: fall of a city - season 1;gostream;watchfree;free movies;watch series;series9,Action;History;War,2018,8,series
Heartland - Season 11,Chris Potter;Amber Marshall;Michelle Morgan;Graham Wardle;Shaun Johnston;Jessica Amlee;Kerry James;Alisha Newton,HD,,heartland - season 11;gostream;watchfree;free movies;watch series;series9,Drama;Family,2016,18,series
The Ranch (US) - Season 2,Ashton Kutcher;Danny Masterson;Debra Winger,HD,,the ranch (us) - season 2;gostream;watchfree;free movies;watch series;series9,Comedy,2017,20,series
Peaky Blinders - Season 4,Cillian Murphy;Paul Anderson;Helen McCrory;Ned Dennehy;Annabelle Wallis;Joe Cole;Sophie Rundle;Ian Peck,HD,,peaky blinders - season 4;gostream;watchfree;free movies;watch series;series9,Crime;Drama,2017,6,series
Longmire - Season 6,,HD,,longmire - season 6;gostream;watchfree;free movies;watch series;series9,Action;Crime;Drama,2015,10,series
